Date,Open*,High,Low,Close**,Volume,Market Cap
7.Jan.18,2.24,2.24,2.16,2.19,"78,803,227","767,358,644"
8.Jan.18,2.28,2.31,2.23,2.25,"87,342,008","785,817,532"
9.Jan.18,2.22,2.33,2.22,2.28,"107,902,217","799,136,443"
10.Jan.18,2.19,2.26,2.16,2.22,"109,888,554","778,385,770"
11.Jan.18,2.18,2.23,2.11,2.19,"109,938,413","765,117,095"
12.Jan.18,2.11,2.33,2.11,2.18,"192,821,111","764,262,022"
13.Jan.18,1.93,2.13,1.91,2.11,"140,921,324","739,934,210"
14.Jan.18,1.81,1.94,1.81,1.94,"80,941,179","678,112,936"
15.Jan.18,1.84,1.86,1.8,1.81,"55,235,942","632,725,379"
16.Jan.18,1.81,1.85,1.79,1.84,"49,108,150","644,046,686"
17.Jan.18,1.74,1.83,1.71,1.81,"61,298,048","633,397,911"
18.Jan.18,1.81,1.82,1.72,1.74,"52,729,126","609,400,278"
19.Jan.18,1.77,1.85,1.76,1.81,"69,723,037","632,324,086"
20.Jan.18,1.84,1.84,1.76,1.77,"58,903,187","619,314,954"
21.Jan.18,1.9,1.91,1.83,1.84,"57,136,151","643,640,851"
22.Jan.18,1.87,1.92,1.86,1.9,"53,574,998","665,841,559"
23.Jan.18,1.89,1.91,1.87,1.87,"53,567,273","656,018,147"
24.Jan.18,1.86,1.95,1.85,1.89,"74,031,488","660,276,978"
25.Jan.18,1.81,1.94,1.79,1.86,"79,180,350","651,630,010"
26.Jan.18,1.86,1.86,1.79,1.8,"86,020,952","631,665,436"
27.Jan.18,1.88,1.89,1.84,1.86,"131,772,813","652,092,016"
28.Jan.18,1.94,1.96,1.86,1.88,"130,569,408","656,897,477"
29.Jan.18,1.87,1.95,1.87,1.94,"120,076,955","677,398,756"
30.Jan.18,1.92,1.93,1.87,1.87,"88,336,767","655,789,073"
31.Jan.18,1.82,1.92,1.8,1.92,"124,354,682","673,201,642"
1.Feb.18,1.88,1.89,1.75,1.82,"150,914,459","637,172,404"
2.Feb.18,1.76,1.88,1.66,1.88,"209,932,252","658,252,398"
3.Feb.18,1.98,2.01,1.72,1.76,"172,213,180","614,723,071"
4.Feb.18,2.09,2.09,1.98,1.98,"97,454,140","693,554,053"
5.Feb.18,2.01,2.12,1.98,2.09,"114,518,248","730,394,059"
6.Feb.18,2.08,2.09,1.99,2.01,"105,295,566","703,740,129"
7.Feb.18,2.12,2.13,2.07,2.08,"117,843,001","727,058,616"
8.Feb.18,2.18,2.2,2.05,2.12,"142,758,973","741,674,953"
9.Feb.18,2.27,2.3,2.15,2.18,"138,162,558","762,317,077"
10.Feb.18,2.09,2.28,2.07,2.27,"218,763,851","794,729,934"
11.Feb.18,2.06,2.09,2.02,2.09,"147,696,805","731,861,045"
12.Feb.18,2.06,2.09,2.03,2.06,"103,114,465","720,652,032"
13.Feb.18,2.09,2.11,2.05,2.06,"88,418,201","721,417,209"
14.Feb.18,2.03,2.1,1.99,2.09,"113,399,318","732,354,664"
15.Feb.18,2.05,2.11,1.97,2.03,"126,219,927","709,032,623"
16.Feb.18,2.13,2.14,2.02,2.05,"145,162,286","717,028,178"
17.Feb.18,2.09,2.2,2.05,2.13,"109,854,018","745,494,808"
18.Feb.18,2.17,2.18,2.07,2.09,"116,492,201","733,241,502"
19.Feb.18,2.24,2.24,2.14,2.17,"136,819,693","758,496,044"
20.Feb.18,2.34,2.36,2.22,2.24,"123,021,580","784,726,634"
21.Feb.18,2.28,2.36,2.27,2.34,"160,656,952","819,917,110"
22.Feb.18,2.23,2.33,2.19,2.27,"146,006,115","795,173,797"
23.Feb.18,2.26,2.29,2.14,2.23,"149,542,925","780,208,040"
24.Feb.18,2.27,2.36,2.18,2.28,"143,568,310","796,749,927"
25.Feb.18,2.26,2.38,2.06,2.28,"170,091,780","796,272,797"
26.Feb.18,2.45,2.47,2.25,2.26,"149,929,050","789,526,615"
27.Feb.18,2.35,2.46,2.27,2.45,"149,356,394","856,598,472"
28.Feb.18,2.55,2.59,2.17,2.35,"201,718,065","823,152,707"
1.Mar.18,2.71,2.71,2.48,2.55,"167,317,924","892,383,619"
2.Mar.18,2.75,2.83,2.66,2.71,"167,970,679","947,893,228"
3.Mar.18,2.82,2.86,2.61,2.76,"174,284,233","964,799,660"
4.Mar.18,2.93,2.98,2.77,2.83,"126,598,447","989,313,501"
5.Mar.18,3.01,3.01,2.9,2.93,"99,099,080","1,026,161,955"
6.Mar.18,3.03,3.05,2.94,3.01,"95,813,206","1,053,615,962"
7.Mar.18,3.06,3.08,2.86,3.04,"157,665,192","1,062,303,298"
8.Mar.18,3.02,3.18,2.96,3.06,"198,792,071","1,072,062,494"
9.Mar.18,2.81,3.08,2.79,3.02,"209,362,104","1,056,401,597"
10.Mar.18,2.75,2.87,2.74,2.82,"148,585,749","986,233,985"
11.Mar.18,2.78,2.78,2.69,2.75,"94,732,322","962,614,077"
12.Mar.18,2.8,2.85,2.73,2.78,"145,643,657","973,925,991"
13.Mar.18,2.72,2.86,2.71,2.8,"152,872,881","981,382,996"
14.Mar.18,2.69,2.73,2.64,2.72,"133,302,910","950,824,378"
15.Mar.18,2.74,2.75,2.63,2.69,"139,483,618","941,759,562"
16.Mar.18,2.68,2.81,2.66,2.74,"152,746,471","959,075,304"
17.Mar.18,2.68,2.7,2.64,2.68,"119,153,856","938,931,715"
18.Mar.18,2.67,2.73,2.65,2.69,"122,384,989","940,363,180"
19.Mar.18,2.71,2.72,2.65,2.67,"106,456,374","935,129,239"
20.Mar.18,2.72,2.76,2.69,2.71,"88,544,063","948,628,146"
21.Mar.18,2.74,2.8,2.66,2.72,"118,225,225","952,007,823"
22.Mar.18,2.62,2.76,2.56,2.74,"118,140,976","958,275,491"
23.Mar.18,2.67,2.68,2.53,2.62,"101,740,209","918,473,995"
24.Mar.18,2.67,2.77,2.65,2.67,"109,381,921","934,515,459"
25.Mar.18,2.68,2.89,2.67,2.67,"157,224,840","935,190,881"
26.Mar.18,2.75,2.77,2.62,2.68,"135,864,814","936,411,528"
27.Mar.18,2.84,2.99,2.67,2.75,"231,729,603","963,198,914"
28.Mar.18,2.75,2.93,2.65,2.84,"210,307,337","993,331,438"
29.Mar.18,2.62,2.79,2.61,2.75,"175,558,916","963,071,165"
30.Mar.18,2.61,2.69,2.43,2.61,"190,350,548","914,374,505"
31.Mar.18,2.63,2.82,2.58,2.61,"172,462,583","911,941,836"
1.Apr.18,2.44,2.67,2.44,2.63,"174,716,569","921,215,529"
2.Apr.18,2.36,2.44,2.3,2.44,"86,836,834","854,512,429"
3.Apr.18,2.36,2.4,2.3,2.36,"85,270,342","825,810,063"
4.Apr.18,2.42,2.51,2.34,2.36,"105,032,862","825,498,606"
5.Apr.18,2.39,2.48,2.29,2.42,"139,155,340","848,439,470"
6.Apr.18,2.4,2.42,2.2,2.39,"158,475,686","836,937,086"
7.Apr.18,2.54,2.6,2.35,2.39,"110,301,011","838,177,179"
